CASEID,CONSENT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8a,Q8b,Q8c,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q10h,Q10i,Q10j,Q10k,Q10l,Q10m,Q10n,Q10o,Q10p,Q10q,Q10r,Q11a,Q11b,Q11c,Q11c_1,Q11c_2,Q11c_3,Q11c_4,Q11c_5,Q11c_6,Q11c_7,Q11c_8,Q11c_9,Q11c_10,Q11c_11,Q11c_12,Q11c_13,Q11c_14,Q11c_15,Q11c_16,Q11c_17,Q11c_18,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q14,Q15,Q16,Q16x,Q17,Q18,Q19,Q20a,Q20b,Q21,Q23,Q24,Q25,Q32a,Q32b,Q33,Q34,Q35,Q36,Q40,Q41,Q42,Q42x,Q43,AGE,Gender,Q16a,Q16b,Q16c,Q16c_1,Q16c_2,Q16c_3,Q16c_4,Q16c_5,Q16c_6,Q16d1,Q16d2,Q16d3,party,CNTY,FIPS,HOME,PERMAV,CD,SD,AD,F13,F14,F15,F16,F17,F18,F19,F20,EndDate,Durationinseconds,Finished,RecordedDate,lang,WEIGHT,ETHNICITY,LIKELY_2020_PRIMARY,LIKELY_2020_GENERAL
 628,1,1,2,3,3,2,1,4, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,3,1,1,1,4,2,2,3,2,4,3,3,3,1,"9                                                                                                                                                                                                                                             ",4,1, ,2,2,5,37,1,5,1,"       ", , , , , , ,1,1, ,"           Other",15, 29,"H","Y",23,16,34,"N","P","N","N","P","A","N","A","04-JUN-2019 12:44:06",   451,1,"04-JUN-2019 12:44:06",1, 0.63076,2,2,2
 629,1,2,4,4,5,1,1,1, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,2,2,1,4,1,1,4,2,1,1, ,3,3,"10 years                                                                                                                                                                                                                                      ",2,1, ,2,1,4,64,2,7,2,"    3,4",0,0,1,1,0,0,1,2,3,"           Other",27, 53,"H","Y",20,17,29,"N","N","N","N","A","A","A","A","04-JUN-2019 12:44:20",   842,1,"04-JUN-2019 12:44:20",1, 0.42000,4,2,1
 630,1,2,1,1,1,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,4,2,4,2,2,4,2,2,2, ,1,4,"16                                                                                                                                                                                                                                            ",4,1, ,1,2,2,79,2,5,2,"      1",1,0,0,0,0,0,1,2,1,"      Republican", 1,  1,"H","Y",15,10,20,"A","P","A","A","A","A","A","A","04-JUN-2019 12:44:21",   893,1,"04-JUN-2019 12:44:21",1, 2.27996,1,1,1
 631,1,1,2,2,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,3,2,3,2,4,2,1,4,2,2,3,1,3,5,"35                                                                                                                                                                                                                                            ",3,1, ,2,1,4,55,1,4,2,"      1",1,0,0,0,0,0,2,3,2,"Decline to State",19, 37,"H","Y",38,32,57,"N","N","N","N","A","A","A","A","04-JUN-2019 12:44:26",   874,1,"04-JUN-2019 12:44:27",1, 1.26200,1,2,1
 632,1,2,4,5,5,2,2,1, ,1, , ,1,1,3,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3,13, 7,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,2,3,2,1,1,1,1,1,1,2,1,1,4,3,2,1,1,1,2, ,1,1,1,1,1, ,4,2,"10                                                                                                                                                                                                                                            ",4,1, ,2,2,2,84,2,3,2,"      1",1,0,0,0,0,0,1,1,1,"        Democrat",56,111," ","Y",26,19,37,"A","A","A","A","A","A","A","A","04-JUN-2019 12:44:32",  1477,1,"04-JUN-2019 12:44:32",1, 4.47623,1,1,1
 633,1,1,1,1,1,4,1,1, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,4, ,4,2,2,4, ,2,3,1,3,1,"12                                                                                                                                                                                                                                            ",1,1, ,2,2,4,54,1,5,2,"      1",1,0,0,0,0,0,2,2,2,"           Other",34, 67,"H"," ", 7, 6, 8,"P","P","N","P","P","P","A","A","04-JUN-2019 12:44:38",   725,1,"04-JUN-2019 12:44:38",1, 1.55379,1,2,1
 634,1,2,4,5,5,3,2,1, , ,1, ,3,1,3,3,3,3,1,3,2,3,3,3,1,3,3,1,3,3,19,  ,",9,                                            ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, , ,3, ,3,3, ,2,2,2,1,2,1,1, ,1,1,4,3,2,1,2,1, , ,1,1,2,4,3,2,4,1,"                                                                                                                                                                                                                                              ",2,1, ,2,2,6,58,2,8,2,"    1,5",1,0,0,0,1,0,3,3,3,"Decline to State",41, 81," "," ",14,13,24,"N","A","N","N","P","N","N","A","04-JUN-2019 12:44:40",  1836,1,"04-JUN-2019 12:44:40",1, 0.69894,5,1,1
 635,1,2,4,4,4,2,2,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,2,3,2,3,1,1,2,1,2,1, ,5,5,"13                                                                                                                                                                                                                                            ",2,2,1,2,1,2,21,2,3,1,"       ", , , , , , ,2,1,1,"        Democrat",44, 87,"H","Y",20,17,30,"N","N","N","N","N","N","N","N","04-JUN-2019 12:44:45",  1052,1,"04-JUN-2019 12:44:46",1, 4.52990,2,2,2
 636,1,2,4,4,5,2,2,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,2,1,1,1,2, ,1,3,1,1,4,3,5,1,"1                                                                                                                                                                                                                                             ",1,1, ,2,2,1,31,1,8,2,"      1",1,0,0,0,0,0,2,3,3,"        Democrat",19, 37," "," ",34,24,53,"A","A","N","N","N","A","A","P","04-JUN-2019 12:44:47",   620,1,"04-JUN-2019 12:44:49",1, 0.44262,1,2,1
 637,1,2,4,3,4,3,1,2, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,1,2,3,2,2, ,1,2,2,1,1, ,3,5,"11                                                                                                                                                                                                                                            ",2,1, ,2,1,4,19,2,5,1,"       ", , , , , , ,2,2,1,"        Democrat",33, 65,"H"," ",41,31,61,"N","N","N","N","N","N","N","P","04-JUN-2019 12:44:50",   561,1,"04-JUN-2019 12:44:50",1, 0.50412,2,2,2
 638,1,2,4,4,4,2,2,1, ,1, , ,3,2,2,2,3,3,1,3,3,3,2,3,1,3,3,3,3,3,13, 7,",4,                                            ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,2,2,3,2,2,2,2,3,2,1,2,1,1,4,3,2,2,3,2,3,1,2,3,2,3,1, ,3,1,"10                                                                                                                                                                                                                                            ",1,1, ,2,2,5,45,1,6,2,"      1",1,0,0,0,0,0,3,4,4,"        Democrat",19, 37,"H","Y",30,27,45,"P","A","N","N","A","P","P","A","04-JUN-2019 12:45:00",   927,1,"04-JUN-2019 12:45:01",1, 1.13326,1,1,1
 639,1,2,4,5,5, ,2,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,1,1,2,1,2, ,1,4,1,3,1, ,3,1,"10                                                                                                                                                                                                                                            ",1,2,3,2,2,2,29,2,5,1,"       ", , , , , , ,1,1,1,"Decline to State",19, 37," ","Y",39,29,55,"N","N","N","N","N","N","N","N","04-JUN-2019 12:45:02",  5010,1,"04-JUN-2019 12:45:02",1, 3.05846,2,2,2
 640,1,2,4,4,5,4,2,1, ,1, , ,2,2,2,2,2,2,1,3,3,2,1,3,1,3,3,3,3,2,13, 7,",2,                                            ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,1,2,4,1,1,1,1,1,2,2,2,1,1,4,2,2,2,4,2,3,1,1,1,2,3,1, ,3,1,"5                                                                                                                                                                                                                                             ",2,1, ,2,2,3,34,1,5,2,"      1",1,0,0,0,0,0,2,2,3,"        Democrat",54,107," ","Y",23,14,26,"N","P","N","N","N","N","N","A","04-JUN-2019 12:45:02",   837,1,"04-JUN-2019 12:45:02",1, 0.83344,1,1,1
 641,1,1,1,2,2,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,3,1,3,1,4,2,1,3,2,4,3,1,2,1,"7                                                                                                                                                                                                                                             ",2,1, ,2,2,6,52,2,8,2,"      1",1,0,0,0,0,0,1,1,2,"      Republican",36, 71,"H","Y",31,23,40,"N","A","N","P","A","P","N","A","04-JUN-2019 12:45:04",  1438,1,"04-JUN-2019 12:45:04",1, 0.36748,1,1,1
 642,1,2,4,5,5,1,2,1, , ,1, ,1,2,1,1,1,3,1,3,3,1,1,3,2,3,1,3,3,3,15,11,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,3,1,4,2,3,2,1,1,2,2,1,1,1,4,1,1,2,4,2,1, ,1,2,2,2,3,2,3,3,"5                                                                                                                                                                                                                                             ",3,1, ,2,2,3,68,2,7,2,"      1",1,0,0,0,0,0,2,2,2,"Decline to State",19, 37," ","Y",33,26,66,"A","A","A","A","A","A","A","A","04-JUN-2019 12:45:10",   778,1,"04-JUN-2019 12:45:10",1, 1.10089,1,1,1
 643,1,2,4,3,5,2,2,1, ,1, , ,3,1,1,1,2,3,2,3,3,1,1,3,1,3,3,3,3,3, 2,10,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,2,1,2,1,1,1,1,1,2,1,1,4,2,2,1,1,1,3,1,1,1,1,3,1, ,4,1,"1                                                                                                                                                                                                                                             ",1,1, ,2,2,5,32,2,6,2,"      1",1,0,0,0,0,0,4,4,4,"        Democrat",37, 73,"H"," ",50,38,71,"N","N","N","N","P","P","N","P","04-JUN-2019 12:45:10",   828,1,"04-JUN-2019 12:45:11",1, 0.71928,1,1,1
 644,1,2,4,4,5,2,2,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,2,1,1,1,2, ,1,3,1,3,1, ,4,5,"10+ years                                                                                                                                                                                                                                     ",3,1, ,2,2,3,35,1,7,2,"      1",1,0,0,0,0,0,3,4,4,"        Democrat", 6, 11,"H"," ", 3, 4, 3,"N","N","N","N","P","P","N","P","04-JUN-2019 12:45:27",   668,1,"04-JUN-2019 12:45:27",1, 0.53814,1,2,1
 645,1,2,4,4,5,3,1,1, ,3, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,1,2,4,1,1, ,2,3,2,3,1, ,3,5,"21                                                                                                                                                                                                                                            ",2,1, ,2,2,1,21,2,6,2,"      3",0,0,1,0,0,0,1,2,2,"        Democrat",30, 59," ","Y",46,34,69,"N","N","N","N","N","A","N","N","04-JUN-2019 12:45:27",   421,1,"04-JUN-2019 12:45:29",1, 0.85929,4,2,1
 646,1,1,1,1,1,3,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,3,2,4,2,1,3,2,3,2, ,3,5,"0                                                                                                                                                                                                                                             ",1,1, ,2,2, ,48,1,8,2,"      1",1,0,0,0,0,0,2,2,2,"      Republican",30, 59,"H","Y",47,34,72,"A","A","N","A","A","A","A","N","04-JUN-2019 12:45:32",   555,1,"04-JUN-2019 12:45:34",1, 2.90993,1,1,1
 647,1,2,4,5,5,1,2,1, ,1, , ,3,1,2,1,3,3,1,3,3,3,1,3,1,2,3,3,3,3,11, 7,",14,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,3,1,2,2,2,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1, ,1,2,1,1,1, ,3,1,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,2,27,2,7,2,"      2",0,1,0,0,0,0,1,2,1,"        Democrat",40, 79," "," ",24,17,35,"N","N","N","N","N","N","N","P","04-JUN-2019 12:45:34",   918,1,"04-JUN-2019 12:45:35",1, 0.18343,3,1,1
 648,1,2,4,5,4,1,2,1, ,1, , ,1,1,2,2,2,1,2,3,3,1,1,3,1,3,3,1,3,3,11, 2,",6,7,8,9,12,14,15,16,17,18,                    ",0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,2,2,3,3,2,2,2,2,2,1,2,1,1,1,2,1,1,4,2,1,1,2,1,3,1,1,3,2,1,1, ,4,5,"2                                                                                                                                                                                                                                             ",2,1, ,2,2,5,57,1,7,2,"      1",1,0,0,0,0,0,2,3,2,"        Democrat",37, 73," ","Y",52,39,78,"N","N","N","N","N","A","A","A","04-JUN-2019 12:45:44",   429,1,"04-JUN-2019 12:45:45",1, 0.27138,1,1,1
 649,1,2,4,5,5,1,2,1, ,1, , ,1,1,1,1,1,1,3,3,2,1,1,2,1,3,1,2,2,2,13,11,",7,8,9,10,16,17,18,                            ",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,2,3,4,1,2,3,2,2,1,2,1,1,1,1,1,1,4,2,2,1,1,1,2, ,1,3,1,1,1, ,4,1,"26                                                                                                                                                                                                                                            ",3,1, ,2,2,6,69,2,8,2,"      1",1,0,0,0,0,0,3,3,4,"        Democrat", 7, 13,"H","Y",11, 7,16,"A","A","A","A","A","A","A","A","04-JUN-2019 12:45:46",   576,1,"04-JUN-2019 12:45:46",1, 0.34504,1,1,1
 650,1,2,4,5,5,2,2,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,1,1,1,3,1,1,3,1,1,1, ,3,1,"8                                                                                                                                                                                                                                             ",3,1, ,2,2,5,66,2,8,2,"      1",1,0,0,0,0,0,1,2,2,"Decline to State",56,111,"H","Y",26,19,44,"A","A","N","N","A","A","A","A","04-JUN-2019 12:45:50",   766,1,"04-JUN-2019 12:45:50",1, 1.10272,1,2,1
 651,1,2,4,5,4,2,2,1, ,1, , ,3,2,1,3,3,3,2,3,3,1,1,3,1,3,3,3,3,3,13,10,",2,7,                                          ",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,1,2,2,2,2,1,2,2,1,1,1,1,1,4,2,2,1,1,1,3,1,1,3,1,1,1, ,4,4,"54                                                                                                                                                                                                                                            ",3,1, ,2,2,5,81,2,7,2,"      1",1,0,0,0,0,0,2,3,3,"        Democrat",30, 59,"H","Y",45,37,68,"A","A","A","A","A","A","A","A","04-JUN-2019 12:45:56",  1269,1,"04-JUN-2019 12:45:57",1, 0.64218,1,1,1
 652,1,2,4,5,5,1,2,1, ,1, , ,1,1,1,3,3,3,1,3,1,1,1,3,2,3,3,1,3,3,16,10,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,4,1,3,1,1,1,1,1,1,2,1,1,1,1,1,4,2,2,1,2,1,1, ,1,1,2,3,1, ,4,5,"5                                                                                                                                                                                                                                             ",3,1, ,1,2,3,51,1,7,2,"      1",1,0,0,0,0,0,3,4,4,"        Democrat",30, 59," ","Y",48,37,74,"P","P","A","A","A","A","A","A","04-JUN-2019 12:46:02",   915,1,"04-JUN-2019 12:46:03",1, 0.58589,1,1,1
 653,1,2,4,3,5,2,2,1, ,1, , , , , , , , , , , , , , , , , , , , , 2,19,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,3,1,2,3,2,2,2,1,1,3,1,1,1,1,4,3,2,1,1,1,3,2,1,3,1,2,1, ,4,2,"1 year                                                                                                                                                                                                                                        ",2,1, ,2,2,5,32,1,7,2,"      6",1,0,1,0,0,0, , , ,"        Democrat",56,111," "," ",26,27,44,"N","P","N","N","N","P","N","P","04-JUN-2019 12:46:06",  1225,1,"04-JUN-2019 12:46:06",1, 0.42160,4,1,1
 654,1,1,1,1,1,4,1,4, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,3,2,4,2,4,1,2,2,1,4,2, ,1,1,"13 years                                                                                                                                                                                                                                      ",1,1, ,1,2,3,32,1,5,1,"       ", , , , , , ,3,3,3,"Decline to State",36, 71," "," ",35,20,52,"N","N","N","N","N","P","N","N","04-JUN-2019 12:46:13",   510,1,"04-JUN-2019 12:46:14",1, 1.48662,2,2,1
 655,1,2,4,4,5,2,2,1, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,1,1,1,3,2,1,1,1,2,4,3,5,2,"6                                                                                                                                                                                                                                             ",1,1, ,2,2,1,37,1,7,2,"    1,4",1,0,0,1,0,0,2,3,3,"           Other",37, 73," "," ",53,39,80,"N","P","P","P","P","P","P","P","04-JUN-2019 12:46:17",   754,1,"04-JUN-2019 12:46:17",1, 0.61562,4,2,1
 656,1,2,4,2,5,2,2,1, ,1, , ,1,1,2,2,1,1,1,3,2,2,1,1,2,3,3,3,3,3, 7,11,",3,9,13,                                       ",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,3,2,2,2,2,2,2,1,1,2,1,1,1,2,1,4,2,2,1,2,1,3,1,1,1,1,2,4,2,5,5,"0                                                                                                                                                                                                                                             ",2,1, ,2,1,1,28,1,8,2,"      1",1,0,0,0,0,0,3,3,3,"        Democrat",44, 87,"H","Y",20,17,29,"N","P","P","N","A","A","N","N","04-JUN-2019 12:46:17",   656,1,"04-JUN-2019 12:46:17",1, 0.57724,1,1,1
 657,1,1,1,1,1,4,1,1, , ,4, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,1,2,1,4,2,1,4,2,1,3,3,3,1,"12                                                                                                                                                                                                                                            ",1,1, ,1,2,5,34,1,7,2,"      1",1,0,0,0,0,0,4,4,4,"Decline to State",34, 67,"H","Y", 6, 6, 7,"N","A","N","A","A","P","A","A","04-JUN-2019 12:46:23",   503,1,"04-JUN-2019 12:46:23",1, 0.44249,1,2,1
 658,1,2,4,5,4,2,2,1, ,1, , ,1,1,1,1,1,1,2,3,3,1,1,3,1,3,3,3,3,3, 2,13,",7,                                            ",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,3,2,2,2,2,2,1,2,1,1,1,1,4,3,2,2,2,1,3,1,1,3,1,1,1, ,5,5,"1                                                                                                                                                                                                                                             ",3,1, ,2,2,5,35,1,7,2,"      1",1,0,0,0,0,0,1,2,3,"        Democrat", 1,  1," ","Y",13, 9,18,"N","N","N","N","N","N","N","N","04-JUN-2019 12:46:44",  1278,1,"04-JUN-2019 12:46:44",1, 1.43849,1,2,2
 659,1,2,4,5,5,1,1,1, ,1, , ,2,1,1,3,1,3,2,1,2,1,1,1,2,3,1,2,3,3, 2,10,",6,7,9,13,                                     ",0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,2,4,3,1,3,2,2,2,1,2,2,2,1,1,1,1,4,2,2,1,1,1,2, ,1,3,2,1,1, ,4,3,"1.5                                                                                                                                                                                                                                           ",3,1, ,2,2,5,51,2,8,2,"    1,5",1,0,0,0,1,0,2,2,2,"        Democrat",48, 95," ","Y", 5, 3,14,"A","A","A","A","A","A","A","A","04-JUN-2019 12:46:44",   603,1,"04-JUN-2019 12:46:46",1, 0.66119,5,1,1
 660,1,1,2,2,1,4,1,1,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,3,3,2,4,2,4,2,2,4,2,3,4,1,3,1,"9                                                                                                                                                                                                                                             ",1,1, ,2,1,5,37,1,5,2,"      6",1,0,0,0,0,0, , , ,"      Republican",48, 95,"H","Y", 3, 3,11,"A","A","A","A","A","A","A","A","04-JUN-2019 12:46:51",  1030,1,"04-JUN-2019 12:46:52",1, 1.05769,1,1,1
 661,1,1,1,1,1,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,4,2,4,2,1,2,2,2,3,1,3,2,"9                                                                                                                                                                                                                                             ",2,1, ,2,2,4,33,1,4,2,"      1",1,0,0,0,0,0,1,4,4,"      Republican",33, 65,"H"," ",42,31,60,"N","N","N","P","N","N","N","N","04-JUN-2019 12:47:01",   639,1,"04-JUN-2019 12:47:03",1, 2.15163,1,2,2
 662,1,2,4,5,5,2,2,1, ,1, , ,2,1,2,3,3,1,2,3,1,1,1,3,1,3,1,2,3,3,11,13,",1,7,                                          ",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,1,2,2,1,2,1,1,2,2,1,2,1,1,4,2,1,1,1,1,4,1,1,4,2,2,1, ,4,1,"10                                                                                                                                                                                                                                            ",1,1, ,2,2,1,61,2,8,2,"      1",1,0,0,0,0,0,2,3,3,"        Democrat",37, 73,"H","Y",52,39,78,"A","A","A","A","A","A","A","A","04-JUN-2019 12:47:01",  1109,1,"04-JUN-2019 12:47:03",1, 0.26588,1,1,1
 663,1,2,4,3,4,2,2,1, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,1,2,1,1, ,2,2,1,2,1, ,5,5,"18                                                                                                                                                                                                                                            ",3,1, ,2,2,6,20,1,3,2,"      1",1,0,0,0,0,0,4,4,4,"           Other", 7, 13,"H","Y",11, 7,14,"N","N","N","N","N","A","A","A","04-JUN-2019 12:47:08",   574,1,"04-JUN-2019 12:47:08",1, 1.15504,1,2,1
 664,1,2,2,2,2,4,1,4,1, , ,1, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,3,2,4,2,4,2,2,3,2,1,2, ,2,1,"10                                                                                                                                                                                                                                            ",3,1, ,2,2,4,48,1,5,2,"      1",1,0,0,0,0,0,3,3,3,"      Republican", 7, 13,"H","Y", 5, 3,14,"N","N","N","N","N","A","A","A","04-JUN-2019 12:47:14",  1222,1,"04-JUN-2019 12:47:16",1, 1.26122,1,1,1
 665,1,1,1,1,1,4,1,1,1, , ,2, , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,3,2,4,2,1, ,1,2,1,2,2, ,2,4,"7                                                                                                                                                                                                                                             ",1,1, ,1,2,4,55,1,5,2,"      1",1,0,0,0,0,0,3,3,2,"      Republican",15, 29," "," ",23,16,34,"N","N","N","P","P","N","N","N","04-JUN-2019 12:47:17",   775,1,"04-JUN-2019 12:47:18",1, 4.20655,1,1,1
 666,1,2,4,5,5,2,2,1, ,1, , ,1,1,3,3,3,3,1,3,3,1,1,3,1,3,3,1,3,3,19,  ,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,2,3,3,1,2,2,1,1,1,1,1,1,1,4,2,2,2,3,2,3,1,1,2,2,1,1, ,3,1,"2                                                                                                                                                                                                                                             ",2,1, ,2,2,6,60,2,8,2,"      1",1,0,0,0,0,0,3,3,2,"        Democrat",37, 73,"H","Y",52,39,77,"N","A","N","A","A","A","A","A","04-JUN-2019 12:47:20",   782,1,"04-JUN-2019 12:47:21",1, 0.26588,1,1,1
 667,1,2,4,5,5,2,2,1, , ,1, ,3,1,3,3,3,3,1,3,3,3,3,3,2,3,3,2,3,3, 7, 2,",13,16,                                        ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,3,3,2,2,3,4,1,1,1,1,2,2,1,1,1,1,4,3,1,1,1,1,4,2,1,1,2,2,3,2,4,1,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,4,53,1,8,2,"      1",1,0,0,0,0,0,2,3,3,"Decline to State",44, 87," "," ",20,17,29,"N","P","N","N","N","P","P","P","04-JUN-2019 12:47:20",   680,1,"04-JUN-2019 12:47:21",1, 0.37660,1,1,1
 668,1,2,2,3,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,4,2,4,1,1,2,2,2,3,1,2,1,"1                                                                                                                                                                                                                                             ",2,2, ,2,2,6,38,1,3,2,"      1",1,0,0,0,0,0,2,3,3,"           Other",37, 73," "," ",50,38,75,"N","N","N","N","N","P","N","P","04-JUN-2019 12:47:27",   799,1,"04-JUN-2019 12:47:27",1, 3.30516,1,2,1
 669,1,2,4,4,3,2,1,1, ,1, , ,3,3,1,3,3,3,1,2,3,3,2,3,1,3,3,3,3,2,13, 3,",4,                                            ",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,1,3,2,2,1,1,2,1,1,1,1,2,1,4,3,1,2,4,2,2, ,1,4,2,2,1, ,4,5,"6                                                                                                                                                                                                                                             ",2,1, ,2,2,1,18,1,3,1,"       ", , , , , , ,2,1,1,"        Democrat",19, 37,"H"," ",35,20,52,"N","N","N","N","N","N","N","P","04-JUN-2019 12:47:27",  1008,1,"04-JUN-2019 12:47:29",1, 1.36673,2,1,1
 670,1,2,1,1,1,3,1,1, ,1, , ,3,2,2,2,3,2,2,3,3,3,2,3,2,3,3,3,3,3,19,  ,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,2,2,3, , ,3,3,3,3,3,3,2,2,2,1,1,3,3,2,3,2,2, ,2,3,2,3,2, ,2,1,"45                                                                                                                                                                                                                                            ",3,1, ,2,2,5,82,1,7,2,"      1",1,0,0,0,0,0,2,2,3,"        Democrat",37, 73,"H","Y",53,38,71,"N","N","N","N","N","N","A","A","04-JUN-2019 12:47:37",  1780,1,"04-JUN-2019 12:47:37",1, 0.59166,1,1,1
 671,1,2,4,4,4,2,2,4, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,1,1,1,1,1, ,1,4,1,1,3,3,5,3,"1                                                                                                                                                                                                                                             ",3,2, ,2,2,6,43,1,8,2,"      1",1,0,0,0,0,0,3,4,3,"Decline to State",37, 73," ","Y",52,39,78,"N","N","N","N","N","N","N","A","04-JUN-2019 12:47:38",   577,1,"04-JUN-2019 12:47:40",1, 0.29932,1,2,2
